round,type,entry,exit,bet,pnl,capital,reason,return_pct
round_10235,post_massive,1.4427,1.2089,18.61599759203681,-3.01685744577404,1273.4883344429818,stop,-16.205725376031054
round_10238,post_massive,1.1654,0.1179,14.252391148838914,-12.810519760089894,1260.6778146828917,stop,-89.88330187060237
round_10243,hot_streak_3,1.3065,1.0686,13.03595305398153,-2.3737108546055925,1258.304103828286,stop,-18.208955223880597
round_10244,hot_streak_3,1.1523,2.2462,12.986908879005233,12.328716152689251,1270.6328199809752,target,94.93187537967542
round_10247,hot_streak_3,1.4329,1.1246,13.242644025480859,-2.849261744054539,1267.7835582369207,stop,-21.51580710447345
round_10248,hot_streak_3,1.2941,2.0388,13.183320114356228,7.586445011329172,1275.3700032482498,target,57.545784715246114
round_10254,hot_streak_3,1.1775,0.9659,13.341570751159226,-2.3975170878516288,1272.9724861603981,stop,-17.97027600849257
round_10257,hot_streak,1.0529,2.9018,16.61432165937386,29.174868758682056,1302.1473549190803,streak_profit,175.60072181593696
round_10258,post_massive,1.2908,0.9665,15.625768259028963,-3.9258108509475456,1298.2215440681327,stop,-25.123954136969317
round_10260,post_massive,1.1483,0.0,15.578658528817593,-15.578658528817593,1282.642885539315,crash,-100.0
round_10268,post_massive,1.2647,1.8207,14.458036070165722,6.356185700175647,1288.9990712394908,target,43.962995176721755
round_1027,hot_streak_3,1.4432,1.1222,13.628240097548002,-3.031225797750075,1285.9678454417406,stop,-22.242239467849224
